Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
USAGOV,UNITED STATES,GOV,USA,EURBUS,EUROPEAN,BUS,EUR,2016,2016,114,-0.5762518792370707,5
MYSGOVMED,MALAYSIA,GOV,MYS,MYSBUS,MALAYSIA,BUS,MYS,2016,2016,115,-0.17928557868402936,5
CHNGOV,CHINESE,GOV,CHN,CHNBUS,CHINESE,BUS,CHN,1995,2016,051,1.1120896002488787,84
USAGOV,OBAMA,GOV,USA,USAELIBUS,GEORGE SOROS,ELI,USA,2011,2016,112,-0.10783693064540618,2
GHAGOV,GHANA,GOV,GHA,GHABUS,GHANA,BUS,GHA,2012,2016,057,1.2298532514995266,2
EGYGOV,EGYPTIAN,GOV,EGY,EGYBUS,EGYPTIAN,BUS,EGY,1987,2016,051,0.6635724715354638,6
USAGOV,HILLARY CLINTON,GOV,USA,MNCUSABUS,BOEING,MNC,USA,2016,2016,051,0.44280442804428005,1
BGDGOVBUS,BANGLADESH,GOV,BGD,USAGOVBUS,NEW YORK,GOV,USA,2016,2016,112,-1.44927536231884,1
SYRGOV,SYRIAN,GOV,SYR,TURBUS,TURKISH,BUS,TUR,2010,2010,050,0.7446808510638301,1
USAGOVDEV,USAID,GOV,USA,PHLBUS,CEBU,BUS,PHL,2014,2014,051,0.364963503649635,1
RUSGOV,RUSSIAN,GOV,RUS,RUSGOVBUS,IGOR SECHIN,GOV,RUS,2014,2014,057,0.3260475787948316,2
PAKGOV,PAKISTAN,GOV,PAK,AFGGOVBUS,ISMAIL KHAN,GOV,AFG,2008,2009,111,3.78213267713372,5
IRNGOV,IRANIAN,GOV,IRN,IRNGOVBUS,ALI AKBAR SALEHI,GOV,IRN,2011,2012,112,1.0855764082567032,9
USAGOV,OBAMA,GOV,USA,USABUS,BOSTON,BUS,USA,2013,2013,051,0.874316939890712,2
IRNGOVBUS,IRANIAN,GOV,IRN,EURBUS,EUROPEAN,BUS,EUR,2016,2016,051,-0.035087719298245,1
USAGOV,BARACK OBAMA,GOV,USA,USABUS,UNITED STATES,BUS,USA,2010,2015,051,0.5453996806033152,17
MYSGOV,MALAYSIA,GOV,MYS,MYSBUS,MALAYSIA,BUS,MYS,2006,2014,051,0.4473601573764262,15
DEUGOV,GERMANY,GOV,DEU,CHNBUS,CHINA,BUS,CHN,2014,2014,051,0.7712438454057358,3
GBRGOV,UNITED KINGDOM,GOV,GBR,GBRGOVBUS,PHILIP HAMMOND,GOV,GBR,2015,2015,110,-0.403020602478864,4
USAGOV,UNITED STATES,GOV,USA,MNCUSABUS,MERRILL LYNCH,MNC,USA,1998,1998,114,2.521008403361345,1
NGAGOV,NIGERIA,GOV,NGA,NGAGOVBUS,NIGERIA,GOV,NGA,2003,2015,112,0.6777969576006038,3
RUSGOV,RUSSIA,GOV,RUS,USABUS,UNITED STATES,BUS,USA,2015,2015,050,0.0,2
USAGOV,OBAMA,GOV,USA,USABUS,AMERICAN,BUS,USA,2012,2016,111,0.1652636878315256,8
GBRGOV,ALISTAIR DARLING,GOV,GBR,GBRGOVBUS,PETER MANDELSON,GOV,GBR,2009,2009,051,1.473477406679765,1
UGAGOVBUS,ASTON KAJARA,GOV,UGA,UGABUS,UGANDA,BUS,UGA,2015,2015,051,0.516192251701905,8
EURGOV,EUROPEAN,GOV,EUR,USABUS,UNITED STATES,BUS,USA,2009,2009,112,0.29339667890311083,2
USAGOVMED,THE WHITE HOUSE,GOV,USA,USABUS,AMERICAN,BUS,USA,1985,1985,051,8.7281795511222,1
SDNGOV,SUDAN,GOV,SDN,SWEBUS,SWEDEN,BUS,SWE,2002,2002,051,5.23334690001355,1
RUSGOV,RUSSIAN,GOV,RUS,RUSGOVBUSGOVMED,IGOR LEVITIN,GOV,RUS,2012,2015,050,0.4090334864825069,3
GRCGOV,GREEK,GOV,GRC,FRAGOVBUS,CHRISTINE LAGARDE,GOV,FRA,2012,2015,051,0.6014602041128533,3
CHNGOV,BEIJING,GOV,CHN,CHNBUS,CHINESE,BUS,CHN,2014,2014,112,0.057471264367816084,1
ARMGOV,ARMENIAN,GOV,ARM,JORGOVBUS,TALEB RIFAI,GOV,JOR,2011,2011,057,0.734088756816772,1
EURGOVBUS,EUROPEAN,GOV,EUR,FRABUS,FRENCH,BUS,FRA,2011,2011,051,0.16655239363772822,2
ITAGOVBUS,ITALIAN,GOV,ITA,SDNBUS,SUDAN,BUS,SDN,2007,2007,050,7.56880733944954,1
USAGOV,THE US,GOV,USA,LBNBUS,LEBANESE,BUS,LBN,2004,2004,112,0.42727272727272797,1
COLGOVBUS,JORGE HUMBERTO BOTERO,GOV,COL,COLBUS,COLOMBIAN,BUS,COL,2003,2003,114,2.54854368932039,1
GBRGOV,BRITISH,GOV,GBR,GBRBUS,UNITED KINGDOM,BUS,GBR,2010,2010,114,0.8853565558003709,2
INDGOV,ORISSA,GOV,IND,USABUS,A US,BUS,USA,1993,1993,057,0.9759759759759756,1
IDNGOV,INDONESIA,GOV,IDN,IDNGOVBUSGOVMED,HATTA RAJASA,GOV,IDN,2007,2007,114,0.4050260996073807,3
ITAGOVBUS,MARIO DRAGHI,GOV,ITA,ITABUS,ITALIAN,BUS,ITA,2014,2014,051,0.5124056094929883,1
SWEGOV,SWEDEN,GOV,SWE,SWEBUS,SWEDEN,BUS,SWE,1996,2016,051,1.2942046839152295,5
AREGOV,SULTAN BIN SAEED AL MANSOURI,GOV,ARE,JORGOVBUS,JORDANIAN,GOV,JOR,2015,2015,057,0.7201646090534974,2
AUSGOV,AUSTRALIAN,GOV,AUS,GBRGOVBUS,PHILIP HAMMOND,GOV,GBR,2015,2015,057,-0.10262989015301681,2
INDGOV,MANI SHANKAR AIYAR,GOV,IND,MNCUSABUS,GOLDMAN SACHS,MNC,USA,2005,2005,112,1.3363590519415034,3
RUSGOVJUD,RUSSIA,GOV,RUS,ARMBUS,ARMENIA,BUS,ARM,2008,2008,112,1.31004366812227,1
VNMGOV,VIETNAM,GOV,VNM,AUSBUS,AUSTRALIAN,BUS,AUS,1991,1991,050,2.06422018348624,1
AUSGOVBUS,AUSTRALIA,GOV,AUS,NGAGOVBUS,NIGERIA,GOV,NGA,2009,2009,112,0.7133058984910833,1
INDGOV,HARYANA,GOV,IND,INDGOVBUS,KAMAL NATH,GOV,IND,2011,2011,057,2.46478873239437,1
BRAGOV,BRAZIL,GOV,BRA,EURGOVBUS,EUROPEAN,GOV,EUR,2012,2012,110,7.169853268119165,2
GRCGOV,GREECE,GOV,GRC,EURGOVBUS,EUROPEAN,GOV,EUR,2012,2015,050,0.4036549624647047,8
USAGOV,OBAMA,GOV,USA,DEUBUS,GERMAN,BUS,DEU,2016,2016,112,-0.5282620179609083,1
